distance,dbm
0.25,-119.1342724191049
0.25,-118.72498290083121
0.25,-118.13036362257702
0.25,-119.39109977395125
0.25,-119.83871740594937
0.5,-119.65411709419621
0.5,-117.7038753892646
0.5,-118.6879693666762
0.5,-117.4423208672813
0.5,-118.76493104113825
1,-118.8270101449402
1,-119.30809166258211
1,-119.25065471029083
1,-118.80518433526271
1,-118.72497051117846
2,-136.94722570751924
2,-129.52931810763874
2,-129.74742574137292
2,-129.0992175740072
2,-129.18434485286838
5,-132.7816002254605
5,-131.64268677156463
5,-132.28048029181036
5,-131.45477872226985
5,-132.57006662504182
10,-132.72683455173518
10,-131.67979773869868
10,-140.06133781586175
10,-132.23569102517675
10,-132.6945419132731
20,-136.7726858527436
20,-136.9781688011488
20,-136.89954774929876
20,-137.12581412317928
20,-136.88424556937105